num_bo,ano_bo,id_delegacia,nome_departamento,nome_seccional,delegacia,nome_departamento_circ,nome_seccional_circ,nome_delegacia_circ,ano,mes,flag_status,rubrica,desdobramento,conduta,latitude,longitude,location,cidade,logradouro,numero_logradouro,flag_status_2
1043,2016,30218,DEMACRO,DEL.SEC.GUARULHOS,08º D.P. GUARULHOS,DEMACRO,DEL.SEC.GUARULHOS,08º D.P. GUARULHOS,2016,5,C,Roubo (art. 157),NULL,VEICULO,-23.461181181600001,-46.4815827384,POINT(-46.4815827384 -23.461181181600001),GUARULHOS,AVENIDA MONTEIRO,300,C
1332,2016,30110,DEMACRO,DEL.SEC.S.BERNARDO DO CAMPO,02º D.P. S.BERNARDO DO CAMPO,DEMACRO,DEL.SEC.S.BERNARDO DO CAMPO,02º D.P. S.BERNARDO DO CAMPO,2016,3,C,Lesão corporal (art. 129),NULL,NULL,-23.684325172695299,-46.556218762062898,POINT(-46.556218762062898 -23.684325172695299),S.BERNARDO DO CAMPO,RUA JOÃO DE AZEVEDO MARQUÊS,237,C
1724,2016,20249,DECAP,DEL.SEC.8º SAO MATEUS,49º D.P.  SAO MATEUS,DECAP,DEL.SEC.8º SAO MATEUS,49º D.P.  SAO MATEUS,2016,2,C,"Furto qualificado (art. 155, §4o.)",§4o. Se o crime é cometido:,ESTABELECIMENTO COMERCIAL,-23.5989500197722,-46.455986610239698,POINT(-46.455986610239698 -23.5989500197722),S.PAULO,RUA JESUINO DO MONTE CARMELO,208,C
49,2016,20218,DECAP,DEL.SEC.5º LESTE,18º D.P.  ALTO DA MOOCA,DECAP,DEL.SEC.5º LESTE,18º D.P.  ALTO DA MOOCA,2016,1,C,Furto (art. 155),NULL,INTERIOR ESTABELECIMENTO,-23.555019304000002,-46.605188775999899,POINT(-46.605188775999899 -23.555019304000002),S.PAULO,RUA DA MOOCA,2460,C
587,2016,30126,DEMACRO,DEL.SEC.S.BERNARDO DO CAMPO,06º D.P. S.BERNARDO DO CAMPO,DEMACRO,DEL.SEC.S.BERNARDO DO CAMPO,06º D.P. S.BERNARDO DO CAMPO,2016,1,C,Furto (art. 155),NULL,RESIDENCIA,-23.704354832040501,-46.534496705418903,POINT(-46.534496705418903 -23.704354832040501),S.BERNARDO DO CAMPO,RUA ANTÔNIO JOSÉ MARQUÊS,32,C
678961,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DECAP,DEL.SEC.1º CENTRO,78º D.P. JARDINS,2016,5,C,Furto (art. 155),NULL,TRANSEUNTE,-23.5640134844285,-46.6532788994285,POINT(-46.6532788994285 -23.5640134844285),S.PAULO,AVENIDA PAULISTA,1200,C
144,2016,500070,DECAP,DEL.SEC.7º ITAQUERA,DEL.SEC.7ª ITAQUERA,DECAP,DEL.SEC.7º ITAQUERA,32º D.P.  ITAQUERA,2016,10,C,"Drogas sem autorização ou em desacordo (Art.33, caput)",NULL,NULL,-23.549172487136801,-46.453158847610503,POINT(-46.453158847610503 -23.549172487136801),S.PAULO,RUA SAO FELIX DO PIAUI,575,C
914579,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DECAP,DEL.SEC.5º LESTE,52º D.P.  PARQUE S.JORGE,2016,7,C,Furto (art. 155),NULL,INTERIOR ESTABELECIMENTO,-23.540448052999999,-46.577310189999899,POINT(-46.577310189999899 -23.540448052999999),S.PAULO,ESTAÇÃO METRO TATUAPE,0,C
580380,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DECAP,DEL.SEC.7º ITAQUERA,64º D.P. CID.AE CARVALHO,2016,5,C,Furto (art. 155),NULL,INTERIOR TRANSPORTE COLETIVO,-23.519725528999999,-46.455914991,POINT(-46.455914991 -23.519725528999999),S.PAULO,Avenida Raimundo Pereira de Magalhaes,1720,C
1550564,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DECAP,DEL.SEC.1º CENTRO,78º D.P. JARDINS,2016,12,C,Roubo (art. 157),NULL,TRANSEUNTE,-23.562719428051899,-46.656157361254998,POINT(-46.656157361254998 -23.562719428051899),S.PAULO,AVENIDA NOVE DE JULHO,4443,C
5866,2016,10112,DECAP,DEL.SEC.1º CENTRO,12º D.P. PARI,DECAP,DEL.SEC.1º CENTRO,12º D.P. PARI,2016,11,C,Furto (art. 155),NULL,TRANSEUNTE,-23.5363008059999,-46.602413134000003,POINT(-46.602413134000003 -23.5363008059999),S.PAULO,RUA VALDEMAR DORIA,1,C
1495751,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DECAP,DEL.SEC.5º LESTE,30º D.P.  TATUAPE,2016,11,C,Furto (art. 155),NULL,OUTROS,-23.559534113180401,-46.561103776957097,POINT(-46.561103776957097 -23.559534113180401),S.PAULO,RUA ANTONIO ALVES BARRIL,323,C
1624,2016,70403,DEINTER 2 - CAMPINAS,DEL.SEC.JUNDIAI,DEL.POL.ITATIBA,DECAP,DEL.SEC.6º SANTO AMARO,11º D.P. SANTO AMARO,2016,3,C,Roubo (art. 157),NULL,VEICULO,,,,S.PAULO,ESTRADA VELHA DE ITAPECIRICA,8842,C
212169,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DECAP,DEL.SEC.1º CENTRO,04º D.P. CONSOLAÇÃO,2016,2,C,Roubo (art. 157),NULL,TRANSEUNTE,-23.5509457464915,-46.645117876534002,POINT(-46.645117876534002 -23.5509457464915),S.PAULO,Rua Martinho Prado,128,C
7849,2016,20120,DECAP,DEL.SEC.4º NORTE,20º D.P.  AGUA FRIA,DECAP,DEL.SEC.4º NORTE,13º D.P. CASA VERDE,2016,7,C,Furto (art. 155),NULL,Saidinha de Banco,-23.495415536185099,-46.630275948074001,POINT(-46.630275948074001 -23.495415536185099),S.PAULO,RUA CONSELHEIRO MOREIRA DE BARROS,526,C
1521423,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DECAP,DEL.SEC.1º CENTRO,78º D.P. JARDINS,2016,11,C,Furto (art. 155),NULL,TRANSEUNTE,-23.557431156,-46.660923281999899,POINT(-46.660923281999899 -23.557431156),S.PAULO,ESTAÇÃO METRO CONSOLAÇÃO,0,C
416451,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DECAP,DEL.SEC.1º CENTRO,01º D.P. SE,2016,3,C,Furto (art. 155),NULL,INTERIOR ESTABELECIMENTO,-23.5477568398586,-46.635611573905898,POINT(-46.635611573905898 -23.5477568398586),S.PAULO,RUA DA QUITANDA,144,C
418373,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DECAP,DEL.SEC.3º OESTE,33º D.P.  PIRITUBA,2016,4,C,Furto (art. 155),NULL,OUTROS,-23.4882243979999,-46.727713557000001,POINT(-46.727713557000001 -23.4882243979999),S.PAULO,VIADUTO RAIMUNDO PEREIRA DE MAGALHAES,0,C
232,2016,10373,DECAP,DEL.SEC.6º SANTO AMARO,100º D.P. JDIM HERCULANO,DECAP,DEL.SEC.6º SANTO AMARO,92º D.P. P. STO ANTONIO,2016,1,C,"Drogas sem autorização ou em desacordo (Art.33, caput)",NULL,NULL,-23.664500118300001,-46.755476657399903,POINT(-46.755476657399903 -23.664500118300001),S.PAULO,RUA PROFESSOR HORACIO QUAGLIO,100,C
2280,2016,30412,DEMACRO,DEL.SEC.OSASCO,02º D.P. OSASCO,DEMACRO,DEL.SEC.OSASCO,02º D.P. OSASCO,2016,7,C,Roubo (art. 157),NULL,VEICULO,-23.580753376000001,-46.800447501000001,POINT(-46.800447501000001 -23.580753376000001),OSASCO,RUA PAULISTA,1030,C
655909,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DECAP,DEL.SEC.1º CENTRO,12º D.P. PARI,2016,5,C,Furto (art. 155),NULL,INTERIOR TRANSPORTE COLETIVO,-23.520369914,-46.625177497999999,POINT(-46.625177497999999 -23.520369914),S.PAULO,PONTE CRUZEIRO DO SUL,0,C
